"titulo","autor","precio","enlace"
"TOYOTA KATA","Mike Rother","$70.300,00","https://www.yenny-elateneo.com/productos/toyota-kata/"
"METAFORAS DEL DESEMPEÑO","Luis Maria Cravino","$26.990,00","https://www.yenny-elateneo.com/productos/metaforas-del-desempeno/"
"LIBERTAD LIBERTAD LIBERTAD","Javier Milei / Diego Giacomini","$39.900,00","https://www.yenny-elateneo.com/productos/libertad-libertad-libertad/"
"EL JUEGO DEL DINERO","Robert T. Kiyosaki","$26.999,00","https://www.yenny-elateneo.com/productos/el-juego-del-dinero/"
"CRIPTOMONEDAS","Gonzalo Roberto Arzuaga","$26.999,00","https://www.yenny-elateneo.com/productos/criptomonedas/"
"SIMEONE PARTIDO A PARTIDO","Diego Simeone","$35.900,00","https://www.yenny-elateneo.com/productos/simeone-partido-a-partido/"
"INNOVACION Y EMPRESA","Guillermo Guajardo","$24.360,00","https://www.yenny-elateneo.com/productos/innovacion-y-empresa/"
"NEURO PACK VOL 1","Nestor Bruno Braidot","$78.500,00","https://www.yenny-elateneo.com/productos/neuro-pack-vol-1/"
"NEUROMANAGEMENT NUEVA EDICION","Nestor Bruno Braidot","$58.800,00","https://www.yenny-elateneo.com/productos/neuromanagement-nueva-edicion/"
"LA TEORIA DE JUEGOS: UNA BREVE INTRODUCCION","Ken Binmore","$23.423,20","https://www.yenny-elateneo.com/productos/la-teoria-de-juegos-una-breve-introduccion/"
"ECONOMIA 3D","Martin Lousteau","$26.999,00","https://www.yenny-elateneo.com/productos/economia-3d/"
"DILEMAS","Fabiana Gadow","$43.500,00","https://www.yenny-elateneo.com/productos/dilemas/"
"EL CAPITAL VOL. 3","Karl Marx","$24.790,00","https://www.yenny-elateneo.com/productos/el-capital-vol-3/"
"EL SALTO DEL DUEÑO","Paula Molinari","$38.990,00","https://www.yenny-elateneo.com/productos/el-salto-del-dueno/"
"EL ABC DEL LIDERAZGO","John C. Maxwell","$23.000,00","https://www.yenny-elateneo.com/productos/el-abc-del-liderazgo/"
"EL ABC DEL EXITO","John C. Maxwell","$23.000,00","https://www.yenny-elateneo.com/productos/el-abc-del-exito/"
"DOMINA EL ARTE DE LOS NEGOCIOS","Brian Tracy","$29.999,00","https://www.yenny-elateneo.com/productos/domina-el-arte-de-los-negocios/"
"ECONOMIA HUMANA . INTUICION LIDERAZGO Y PROSPERIDAD","Ferran Caudet","$40.920,00","https://www.yenny-elateneo.com/productos/economia-humana-intuicion-liderazgo-y-prosperidad/"
"EL EFECTO STICK","Josep Valls Gimenez","$53.300,00","https://www.yenny-elateneo.com/productos/el-efecto-stick/"
"TIPS PARA MAMA","Harvard Business Review Press","$40.500,00","https://www.yenny-elateneo.com/productos/tips-para-mama/"
"TIPS PARA PAPA","Harvard Business Review Press","$42.600,00","https://www.yenny-elateneo.com/productos/tips-para-papa/"
"DESARROLLO DEL TALENTO EN LA PRACTICA","Martha Alles","$50.200,00","https://www.yenny-elateneo.com/productos/desarrollo-del-talento-en-la-practica/"
"TODOS SOBRE LOS NFT","Roberto Garavaglia","$40.600,00","https://www.yenny-elateneo.com/productos/todos-sobre-los-nft/"
"ELEMENTOS DE INVERSION","Burton G. Malkiel / Charles D. Ellis","$42.600,00","https://www.yenny-elateneo.com/productos/elementos-de-inversion/"
"MARKETING EN REDES SOCIALES EL : UN ENFOQUE PRACTICO","Phillip Kotler","$51.300,00","https://www.yenny-elateneo.com/productos/marketing-en-redes-sociales-el-un-enfoque-practico/"
"EL INVERSOR CONDUCTUAL","Daniel Crosby","$53.400,00","https://www.yenny-elateneo.com/productos/el-inversor-conductual/"
"INVERSION EN BOLSA PARA DUMMIES","Ismael De La Cruz","$42.600,00","https://www.yenny-elateneo.com/productos/inversion-en-bolsa-para-dummies/"
"AQUI ESTA LA ESTRATEGIA","Seth Godin","$42.600,00","https://www.yenny-elateneo.com/productos/aqui-esta-la-estrategia/"
"GESTION ESTRATEGICA PARA INSTITUCIONES EDUCATIVAS","Juan Manuel Manes","$25.200,00","https://www.yenny-elateneo.com/productos/gestion-estrategica-para-instituciones-educativas/"
"ESTAS A CARGO","Susan Arevalo","$25.000,00","https://www.yenny-elateneo.com/productos/estas-a-cargo/"
"PENSA COMO EMPRESARIO","Paula Monte","$35.000,00","https://www.yenny-elateneo.com/productos/pensa-como-empresario/"
"LIBRO PARA EMPRENDEDORES","Luis Ramos","$40.000,00","https://www.yenny-elateneo.com/productos/libro-para-emprendedores/"
"FILOSOFIA NOT WORK","Pasty Lauria","$40.000,00","https://www.yenny-elateneo.com/productos/filosofia-not-work/"
"VENDER ES FACIL: COMO ME CONVERTI EN VENDEDOR SERIAL","Leo Migdal","$35.000,00","https://www.yenny-elateneo.com/productos/vender-es-facil-como-me-converti-en-vendedor-serial/"
"EL GRAN CAMBIO","Guillermo Laura","$35.000,00","https://www.yenny-elateneo.com/productos/el-gran-cambio/"
"GESTIONANDO (SIN) PROBLEMAS","Nestor Gavilan Ferrer","$53.400,00","https://www.yenny-elateneo.com/productos/gestionando-sin-problemas/"
"GENERANDO SINERGIAS","Mark Sirower","$72.800,00","https://www.yenny-elateneo.com/productos/generando-sinergias/"
"ORGANIZACIONES HUMANAS","Alicia Medina / Rolf Medina","$41.500,00","https://www.yenny-elateneo.com/productos/organizaciones-humanas/"
"CURSO DE ECONOMIA","Rudolf Steiner","$33.200,00","https://www.yenny-elateneo.com/productos/curso-de-economia/"
"EMPRESA COMO PERSONA","Claudio Gallico","$24.000,00","https://www.yenny-elateneo.com/productos/empresa-como-persona/"
"CLAVES PARA EL DESARROLLO DE AMERICA LAT","Christian Gonzalo Asinelli","$35.699,00","https://www.yenny-elateneo.com/productos/claves-para-el-desarrollo-de-america-lat/"
"INTELIGENCIA SENTI-MENTAL","Mati Moretti","$31.990,00","https://www.yenny-elateneo.com/productos/inteligencia-senti-mental/"
"REDACTAR MEJOR - SOFT SKILLS","Heather Pierce","$22.200,00","https://www.yenny-elateneo.com/productos/redactar-mejor-soft-skills/"
"AUMENTAR LAS VENTAS SK","Marcos Alvarez","$22.200,00","https://www.yenny-elateneo.com/productos/aumentar-las-ventas-sk/"
"SOBRE LIDERAZGO","Tony Blair","$42.600,00","https://www.yenny-elateneo.com/productos/sobre-liderazgo/"
"MANAGEMENT DEL SENTIDO COMUN","Xavier Marcet","$31.800,00","https://www.yenny-elateneo.com/productos/management-del-sentido-comun/"
"VENDER IMPORTANDO","Dany Caceres","$23.900,00","https://www.yenny-elateneo.com/productos/vender-importando/"
"REVOLUCION SENIOR","Sebastian Campanario","$28.999,00","https://www.yenny-elateneo.com/productos/revolucion-senior/"
"ODISEA PYME","Francisco Rimmele","$24.990,00","https://www.yenny-elateneo.com/productos/odisea-pyme/"
"MANIFIESTO CAPITALISTA","Robert T. Kiyosaki","$30.899,00","https://www.yenny-elateneo.com/productos/manifiesto-capitalista1/"
"PATRIMONIO Y FAMILIA","Rodrigo Rincon","$48.800,00","https://www.yenny-elateneo.com/productos/patrimonio-y-familia/"
"CAMBIA EL CHIP","Paco Soler","$38.300,00","https://www.yenny-elateneo.com/productos/cambia-el-chip/"
"GEORGE SOROS","Peter L.w. Osnos","$52.400,00","https://www.yenny-elateneo.com/productos/george-soros/"
"MARCELO DIAMAND. DOCTRINAS ECONÓMICAS DESARROLLO E INDEPENDENCIA","Marcelo Diamand","$75.000,00","https://www.yenny-elateneo.com/productos/marcelo-diamand-doctrinas-economicas-desarrollo-e-independencia/"
"WELLNESS FINANCIERO","Jordi Martinez Llorente / Vicenc Yll Escot","$36.200,00","https://www.yenny-elateneo.com/productos/wellness-financiero/"
"LA PARADOJA DEL RENDIMIENTO","Eduardo Briceno","$34.500,00","https://www.yenny-elateneo.com/productos/la-paradoja-del-rendimiento/"
"THE 33 STRATEGIES OF WAR","Robert Greene","$54.188,00","https://www.yenny-elateneo.com/productos/the-33-strategies-of-war/"
"THE RICHEST MAN IN BABYLON","George S. Clason","$22.724,00","https://www.yenny-elateneo.com/productos/the-richest-man-in-babylon1/"
"LAS LEYES DE LA COMPETICION","Bruce Greenwald / Judd Kahn","$36.000,00","https://www.yenny-elateneo.com/productos/las-leyes-de-la-competicion/"
"ESCALAR","Sam Chand","$24.700,00","https://www.yenny-elateneo.com/productos/escalar/"
"STRETCH","Scott Sonenshein","$20.346,72","https://www.yenny-elateneo.com/productos/stretch/"
"COLISION INMINENTE","Hans Greimel","$20.346,72","https://www.yenny-elateneo.com/productos/colision-inminente/"
"FUNDAMENTOS DE ECONOMIA 4 ED.","Paul R. Krugman","$55.131,92","https://www.yenny-elateneo.com/productos/fundamentos-de-economia-4-ed/"
"PIENSA ESTRATEGICAMENTE","Harvard Business Review","$22.164,64","https://www.yenny-elateneo.com/productos/piensa-estrategicamente/"
"ESENCIA DEL LIDERAZGO LA SEGUNDA EDICION","Hugo Landolfi","$25.000,00","https://www.yenny-elateneo.com/productos/esencia-del-liderazgo-la-segunda-edicion/"
"9 SECRETOS DE LA GENTE EXITOSA","Harvard Business Review","$10.662,80","https://www.yenny-elateneo.com/productos/9-secretos-de-la-gente-exitosa/"
"DOCE Y MEDIO","Gary Vaynerchuk","$15.487,28","https://www.yenny-elateneo.com/productos/doce-y-medio/"
"LOGRA UN ASCENSO. SERIE BUSINESS EXPERTS","Niamh O'keeffe","$10.662,80","https://www.yenny-elateneo.com/productos/logra-un-ascenso-serie-business-experts/"
"MANAGEMENT TIPS 2. SERIE MANAGEMENT EN 20 MINUTOS","Harvard Business Review","$15.487,28","https://www.yenny-elateneo.com/productos/management-tips-2-serie-management-en-20-minutos/"
"EQUIPOS INNOVADORES. SERIE MANAGEMENT EN 20 MINUTOS","Harvard Business Review","$10.662,80","https://www.yenny-elateneo.com/productos/equipos-innovadores-serie-management-en-20-minutos/"
"UN PAVO REAL EN EL REINO DE LOS PINGUINOS","B. J. Gallagher","$10.662,80","https://www.yenny-elateneo.com/productos/un-pavo-real-en-el-reino-de-los-pinguinos/"
"DESPIDE A TU JEFE","Juan Antonio Guerrero Canongo","$15.406,60","https://www.yenny-elateneo.com/productos/despide-a-tu-jefe/"
"CONVENCER Y PERSUADIR. SOFT SKILLS","Marcos Alvarez","$21.300,00","https://www.yenny-elateneo.com/productos/convencer-y-persuadir-soft-skills/"
"APRENDER COACHING. SOFT SKILLS","Cesar Piqueras","$21.300,00","https://www.yenny-elateneo.com/productos/aprender-coaching-soft-skills/"
"ACTUA COMO UN LIDER PIENSA COMO UN LIDER","Herminia Ibarra","$52.400,00","https://www.yenny-elateneo.com/productos/actua-como-un-lider-piensa-como-un-lider/"
"EMPRESAS Y TRIBULACIONES DE MAQROLL","Rm","$27.356,20","https://www.yenny-elateneo.com/productos/empresas-y-tribulaciones-de-maqroll/"
"COACHING CON PNL","Joseph O'connor / Andrea Lages","$25.500,00","https://www.yenny-elateneo.com/productos/coaching-con-pnl/"
"INTELIGENCIA EMOCIONAL","Harvard Business Review","$20.976,00","https://www.yenny-elateneo.com/productos/inteligencia-emocional1/"
"7 MOMENTOS DEL COACHING - CONVERSACIONES PARA UN VIAJE INTERIOR","Reverte","$27.968,00","https://www.yenny-elateneo.com/productos/7-momentos-del-coaching-conversaciones-para-un-viaje-interior/"
"CREATIVIDAD","Manel Rajadell","$28.842,00","https://www.yenny-elateneo.com/productos/creatividad2/"
"MAQUINAS PREDICTIVAS","Ajay Agrawal / Joshua Gans / Avi Goldfarb","$22.724,00","https://www.yenny-elateneo.com/productos/maquinas-predictivas/"
"MEJORA TU PRODUCTIVIDAD","Varios Autores","$20.976,00","https://www.yenny-elateneo.com/productos/mejora-tu-productividad/"
"MACROECONOMIA INTERNACIONAL","Robert C. Feenstra / Alan M. Taylor","$63.802,00","https://www.yenny-elateneo.com/productos/macroeconomia-internacional/"
"MACROECONOMIA","Paul R. Krugman / Robin Wells","$75.164,00","https://www.yenny-elateneo.com/productos/macroeconomia/"
"MICROECONOMIA","Austan Goolsbee / Steven D. Levitt / Chad Syverson","$92.644,00","https://www.yenny-elateneo.com/productos/microeconomia/"
"EL CATALIZADOR","Reverte","$30.590,00","https://www.yenny-elateneo.com/productos/el-catalizador/"
"CONVERSACIONES","David Rubenstein","$30.590,00","https://www.yenny-elateneo.com/productos/conversaciones1/"
"EL LIDER","Jim Harter","$38.456,00","https://www.yenny-elateneo.com/productos/el-lider/"
"DOLARIZACIONES","Ariel Wilkis","$28.000,00","https://www.yenny-elateneo.com/productos/dolarizaciones/"
"LIDERAR CON HUMILDAD","Jeffrey Krames","$12.700,00","https://www.yenny-elateneo.com/productos/liderar-con-humildad/"
"GESTIONAR EL TIEMPO. SOFT SKILLS","Mark Mancini","$21.300,00","https://www.yenny-elateneo.com/productos/gestionar-el-tiempo-soft-skills/"
"VENDER. SOFT SKILLS","Linda Richardson","$21.300,00","https://www.yenny-elateneo.com/productos/vender-soft-skills/"
"MOTIVAR PERSONAS. SOFT SKILLS.","Anne Bruce","$21.300,00","https://www.yenny-elateneo.com/productos/motivar-personas-soft-skills/"
"HISTORIA ECONOMICA MUNDIAL: UNA BREVE INTRODUCCION","Robert C. Allen","$21.850,00","https://www.yenny-elateneo.com/productos/historia-economica-mundial-una-breve-introduccion/"
"VIVIR EN LA FRONTERA","Martin Shaw","$20.000,00","https://www.yenny-elateneo.com/productos/vivir-en-la-frontera/"
"MARKETING PRACTICO PARA PEQUEÑOS NEGOCIOS","Lucia Mediano Serrano / Xavier Zubizarreta","$43.612,60","https://www.yenny-elateneo.com/productos/marketing-practico-para-pequenos-negocios/"
"CAPITALISMO Y PERSONALIDAD","Luis Enrique Alonso / Carlos J. Fernandez Rodriguez","$27.900,00","https://www.yenny-elateneo.com/productos/capitalismo-y-personalidad/"
"EL GARAGE DE TUS SUEÑOS","Agustin Remondino","$27.900,00","https://www.yenny-elateneo.com/productos/el-garage-de-tus-suenos/"
"VOLVER A SER GRANDES","Federico Dominguez","$24.000,00","https://www.yenny-elateneo.com/productos/volver-a-ser-grandes/"
"LA CIENCIA DE HACERSE RICO","Wallace D. Wattles","$18.431,00","https://www.yenny-elateneo.com/productos/la-ciencia-de-hacerse-rico2/"
"KEYNES","Peter Temin / David Vines","$29.300,00","https://www.yenny-elateneo.com/productos/keynes1/"
"SEO TECNICO","Anaya","$43.612,60","https://www.yenny-elateneo.com/productos/seo-tecnico/"
"EL FINAL DE LAS CRISIS ECONOMICAS NACIONALES","Anaya","$33.526,64","https://www.yenny-elateneo.com/productos/el-final-de-las-crisis-economicas-nacionales/"
"CODESARROLLO","Martha Alicia Alles","$45.400,00","https://www.yenny-elateneo.com/productos/codesarrollo/"
"CONDUCIR AL CAPITAL . ESTADO O MERCADO UNA FALSA DICOTOMIA","Delfina Rossi","$25.990,00","https://www.yenny-elateneo.com/productos/conducir-al-capital-estado-o-mercado-una-falsa-dicotomia/"
"PARADOJA LA - ED. REVISADA","James C. Hunter","$21.800,00","https://www.yenny-elateneo.com/productos/paradoja-la-ed-revisada/"
"DE BUHOS Y LABERINTOS","Eduardo Delle Ville","$20.000,00","https://www.yenny-elateneo.com/productos/de-buhos-y-laberintos/"
"PROCESOS DEL SEGUNDO TIEMPO","Enrique Jaime Portnoy","$10.000,00","https://www.yenny-elateneo.com/productos/procesos-del-segundo-tiempo/"
"INNOVACION CONTINUA","Behnam N. Tabrizi","$58.900,00","https://www.yenny-elateneo.com/productos/innovacion-continua/"
"GREAT REVIVE THE","Juan Manuel Roca","$38.700,00","https://www.yenny-elateneo.com/productos/great-revive-the/"
"POSICIONAMIENTO Y REPUTACION ONLINE","Sico De Andres","$38.578,36","https://www.yenny-elateneo.com/productos/posicionamiento-y-reputacion-online/"
"CURSO DE MARKETING HOTELERO","Oliver Espinosa Sorensen","$40.256,44","https://www.yenny-elateneo.com/productos/curso-de-marketing-hotelero/"
"LOS SECRETOS DE LAS MARCAS","Fernando De Cordoba","$38.980,40","https://www.yenny-elateneo.com/productos/los-secretos-de-las-marcas/"
"GENEROS Y PULSIONES EN EL COMPORTAMIENTO ORGANIZACIONAL","Emmanuel Oliverio","$28.000,00","https://www.yenny-elateneo.com/productos/generos-y-pulsiones-en-el-comportamiento-organizacional/"
"VENDE COMO BEZOS","Carmine Gallo","$64.700,00","https://www.yenny-elateneo.com/productos/vende-como-bezos/"
"PRESENTA TUS IDEAS CON FORMA DE VIRUS","Enric Llado","$34.700,00","https://www.yenny-elateneo.com/productos/presenta-tus-ideas-con-forma-de-virus/"
"EL SISTEMA DE CREDITO SOCIAL CHINO","Avaro Dante","$22.600,00","https://www.yenny-elateneo.com/productos/el-sistema-de-credito-social-chino/"
"MANUAL DEL SUEÑO AMERICANO","Esteban Morano","$38.900,00","https://www.yenny-elateneo.com/productos/manual-del-sueno-americano/"
"LO QUE NO ME DIJERON DE EMPRENDER","Veronica Aviles","$26.300,00","https://www.yenny-elateneo.com/productos/lo-que-no-me-dijeron-de-emprender/"
"ALMA EMPRENDEDORA","Virginia Suarez Dratman","$24.500,00","https://www.yenny-elateneo.com/productos/alma-emprendedora/"
"SER EL PRIMERO","Alejandro Condomi Alcorta","$29.000,00","https://www.yenny-elateneo.com/productos/ser-el-primero/"
"EL ARTE DE SUBIR (Y BAJAR) LA MONTAÑA","Marcos Pena","$27.190,00","https://www.yenny-elateneo.com/productos/el-arte-de-subir-y-bajar-la-montana/"
"EMPRENDEDOR QUIEN LO LEA","Euge Oller","$15.990,00","https://www.yenny-elateneo.com/productos/emprendedor-quien-lo-lea/"
"MILLONES EN BIENES RAICES","Gaston Gregorio","$29.000,00","https://www.yenny-elateneo.com/productos/millones-en-bienes-raices/"
"TODO VALIO LA PENA","Maria Laura Tramezzani","$27.500,00","https://www.yenny-elateneo.com/productos/todo-valio-la-pena/"
"EL GRAN ENGAÑO","Mariana Mazzucato / Rosie Collington","$37.799,00","https://www.yenny-elateneo.com/productos/el-gran-engano/"
"METODO MAPA DE PRODUCTIVIDAD PERSONAL","Cesar Piqueras","$46.200,00","https://www.yenny-elateneo.com/productos/metodo-mapa-de-productividad-personal/"
"SOY MARCA","Luis Angel Diaz","$35.900,00","https://www.yenny-elateneo.com/productos/soy-marca/"
"GUIA ARGENTINA DE FRANQUICIAS 2024","Roberto Russo","$30.000,00","https://www.yenny-elateneo.com/productos/guia-argentina-de-franquicias-2024/"
"LA VENTA","Jon Gordon / Alex Demczak","$17.600,00","https://www.yenny-elateneo.com/productos/la-venta/"
"HUMAN RETAIL","Marcos Alvarez","$46.200,00","https://www.yenny-elateneo.com/productos/human-retail/"
"AUTOGESTION","Alejo Ecube","$46.200,00","https://www.yenny-elateneo.com/productos/autogestion/"
"EMPRESAS QUE CRECEN CON ALMA","Angel Bonet","$50.800,00","https://www.yenny-elateneo.com/productos/empresas-que-crecen-con-alma/"
"LOS 10 HABITOS CLAVE PARA GESTIONAR EMPRESAS Y NEGOCIOS COMPETITIVOS","Lluis Cuatrecasas","$58.900,00","https://www.yenny-elateneo.com/productos/los-10-habitos-clave-para-gestionar-empresas-y-negocios-competitivos/"
"MIAMI EN TUS MANOS","Eliana Silva","$7.000,00","https://www.yenny-elateneo.com/productos/miami-en-tus-manos/"
"ACTITUD Y ACCION","Juanita Acevedo Segura","$46.200,00","https://www.yenny-elateneo.com/productos/actitud-y-accion/"
"SAY THANK YOU","Jim Edwards","$46.200,00","https://www.yenny-elateneo.com/productos/say-thank-you/"
"CONECTA (GETTING ALONG)","Amy Gallo","$46.200,00","https://www.yenny-elateneo.com/productos/conecta-getting-along/"
"PRIMERO LOS EMPLEADOS LOS CLIENTES DESPUES","Vineet Nayar","$46.200,00","https://www.yenny-elateneo.com/productos/primero-los-empleados-los-clientes-despues/"
"LA HISTORIA DE TRECE","Maiti Luiggi Sarrias","$42.500,00","https://www.yenny-elateneo.com/productos/la-historia-de-trece/"
"COMO EMPEZAR","Michael Bungay Stanier","$25.900,00","https://www.yenny-elateneo.com/productos/como-empezar/"
"LA RESPONSABILIDAD SOCIAL EMPRESARIA EN EL CAPITALISMO TARDIO","Carlos Molinari","$17.700,00","https://www.yenny-elateneo.com/productos/la-responsabilidad-social-empresaria-en-el-capitalismo-tardio/"
"NET POSITIVE","Paul Polman / Andrew Winston","$63.700,00","https://www.yenny-elateneo.com/productos/net-positive/"
"MANUAL DE ORGANIZACION E INGENIERIA DE LA PRODUCCION Y GESTION DE OPERACIONES","Lluis Cuatrecasas","$181.000,00","https://www.yenny-elateneo.com/productos/manual-de-organizacion-e-ingenieria-de-la-produccion-y-gestion-de-operaciones/"
"CRECER HACIENDO CRECER. EMPRESAS CONSISTENTES","Xavier Marcet","$38.700,00","https://www.yenny-elateneo.com/productos/crecer-haciendo-crecer-empresas-consistentes/"
"MARKETING 4.0","Phillip Kotler","$34.900,00","https://www.yenny-elateneo.com/productos/marketing-4-0/"
"LA PUBLICIDAD","Gloria Jimenez-marin / Esther Simancas-gonzalez","$41.182,88","https://www.yenny-elateneo.com/productos/la-publicidad/"
"COMO DISFRUTAR EN EL TRABAJO","Reverte","$30.590,00","https://www.yenny-elateneo.com/productos/como-disfrutar-en-el-trabajo/"
"REVOLUCIONANDO EL TRABAJO","Aaron Dignan","$27.968,00","https://www.yenny-elateneo.com/productos/revolucionando-el-trabajo/"
"GESTIONA CON EXITO UN CAMBIO PROFESIONAL","Michael Watkins","$27.968,00","https://www.yenny-elateneo.com/productos/gestiona-con-exito-un-cambio-profesional/"
"7 MOMENTS OF COACHING THE","Reverte","$30.170,48","https://www.yenny-elateneo.com/productos/7-moments-of-coaching-the/"
"INTERNACIONALIZAR CON EXITO","Pere Ballart Hernandez","$55.400,00","https://www.yenny-elateneo.com/productos/internacionalizar-con-exito/"
"EMPRESA INVERTEBRADA","Ricardo Sanchez Butragueno","$34.700,00","https://www.yenny-elateneo.com/productos/empresa-invertebrada/"
"7 VENDEDORES DE EXITO¿ Y LOS 8 COMPRADORES EMPEÑADOS EN QUE FRACASEN LOS (ARG)","Jesus Gul Vilda","$21.400,00","https://www.yenny-elateneo.com/productos/7-vendedores-de-exito-y-los-8-compradores-empenados-en-que-fracasen-los-arg/"
"FACILITAR AVANCES CONJUNTOS (ARG)","Adam Kahane","$22.000,00","https://www.yenny-elateneo.com/productos/facilitar-avances-conjuntos-arg/"
"TRES FORMAS DE TOMAR UN HELADO","Enrique Espeche","$24.900,00","https://www.yenny-elateneo.com/productos/tres-formas-de-tomar-un-helado/"
"EL LIBRO DEL CAMBIO DE ENRIC","Enric Llado","$34.700,00","https://www.yenny-elateneo.com/productos/el-libro-del-cambio-de-enric/"
"EL SER Y EL HACER DEL COACH","Ana Luisa Escalante / Damian Goldvarg / Norma Perel","$33.600,00","https://www.yenny-elateneo.com/productos/el-ser-y-el-hacer-del-coach/"
"SHINE","Ana De Andres","$46.200,00","https://www.yenny-elateneo.com/productos/shine/"
"LO QUE SEA DE CADA QUIEN","Alvin Roth","$24.500,00","https://www.yenny-elateneo.com/productos/lo-que-sea-de-cada-quien/"
"ENSAYO SOBRE INCLUSION FINANCIERA","Biblioteca Nacional","$15.375,00","https://www.yenny-elateneo.com/productos/ensayo-sobre-inclusion-financiera/"
"CRECE Y HAZTE RICO","Romuald Fons","$36.900,00","https://www.yenny-elateneo.com/productos/crece-y-hazte-rico/"
"LA BOTELLA MEDIO LLENA","Oriol Amat","$39.700,00","https://www.yenny-elateneo.com/productos/la-botella-medio-llena/"
"FRICTIONLESS","Marc Cortes","$58.900,00","https://www.yenny-elateneo.com/productos/frictionless/"
"CIRCULANDO HACIA UNA NUEVA ECONOMIA","Jose Luis Gallego","$54.500,00","https://www.yenny-elateneo.com/productos/circulando-hacia-una-nueva-economia/"
"PODER CUANTICO PARA GANAR MAS EN LOS NEGOCIOS","Josep Alet","$54.500,00","https://www.yenny-elateneo.com/productos/poder-cuantico-para-ganar-mas-en-los-negocios/"
"LA PUBLICIDAD MODERNA","Fernando Roig","$26.000,00","https://www.yenny-elateneo.com/productos/la-publicidad-moderna/"
